file,function,lineno,has_doc
"library/cad_objects.py","ensure_layer_current",2420,1
"library/cad_objects.py","set_layer_properties",2448,1
"library/cad_objects.py","set_layer_with_retry",2500,1
"library/cad_objects.py","force_layer_objects_color",2557,1
"library/execution_result.py","ExecutionResult.__init__",39,1
"library/execution_result.py","ExecutionResult.is_success",63,1
"library/execution_result.py","ExecutionResult.is_failed",67,1
"library/execution_result.py","ExecutionResult.is_partial",76,1
"library/execution_result.py","ExecutionResult.to_dict",80,1
"library/execution_result.py","ExecutionResult.__repr__",90,0
"library/execution_result.py","ExecutionResult.__bool__",93,1
"library/execution_result.py","success",100,1
"library/execution_result.py","failed",123,1
"library/execution_result.py","partial",146,1
"library/execution_result.py","error",175,1
"library/execution_result.py","with_execution_check",200,1
"library/tarch_building.py","dim_by_points",29,1
"library/tarch_building.py","draw_tarch_wall",49,1
"library/tarch_building.py","insert_tarch_door",112,1
"library/tarch_building.py","insert_tarch_window",213,1
"library/tarch_building.py","run_tupdspace_for_tz_room_in_rect",383,1
"library/tarch_building.py","run_auto_TUPDSPACE_with_coord",516,1
"library/tarch_building.py","TDb_single_line_variable_wall",633,1
"library/tarch_building.py","convert_lines_to_walls",717,1
"library/tarch_building.py","set_walls_thickness",775,1
"library/tarch_building.py","activate_cad_middle_click",808,1
"library/tarch_building.py","insert_tarch_window_lisp_mode",827,1
"library/tarch_building.py","_get_dynamic_cache_path",917,1
"library/tarch_building.py","_load_cache_from_disk",932,1
"library/tarch_building.py","_save_cache_to_disk",944,1
"library/tarch_building.py","_activate_cad_safe",964,1
"library/tarch_building.py","_wait_for_user_hover",982,1
"library/tarch_building.py","get_wall_thickness",1015,1
"library/tarch_building.py","get_wall_length",1036,1
"library/tarch_building.py","get_wall_height",1056,1
"library/tarch_building.py","modify_wall_thickness",1077,1
"library/tarch_building.py","modify_wall_height",1100,1
"library/tarch_building.py","modify_door_size",1122,1
"library/tarch_building.py","modify_window_size",1145,1
"library/tarch_building.py","delete_door",1168,1
"library/tarch_building.py","delete_window",1187,1
"library/tarch_building.py","insert_tarch_column",1207,1
"library/tarch_building.py","modify_column_size",1236,1
"library/tarch_building.py","insert_tarch_stair",1260,1
"library/tarch_building.py","modify_stair_params",1288,1
"library/tarch_building.py","label_room_name",1311,1
"library/tarch_building.py","insert_tarch_door_universal",1336,1
"library/test_monitor.py","TestMonitor.__init__",27,1
"library/test_monitor.py","TestMonitor.capture_dwg_state",39,1
"library/test_monitor.py","TestMonitor.capture_folder_state",97,1
"library/test_monitor.py","TestMonitor.before_test",157,1
"library/test_monitor.py","TestMonitor.after_test",189,1
"library/test_monitor.py","TestMonitor.compare_and_judge",221,1
"library/test_monitor.py","TestMonitor.save_report",346,1
"scripts/apply_modifications.py","create_backup",27,1
"scripts/apply_modifications.py","read_file",37,1
"scripts/apply_modifications.py","write_file",42,1
"scripts/apply_modifications.py","find_function_range",47,1
"scripts/apply_modifications.py","apply_modifications",82,1
"scripts/auto_TUPDSPACE.py","activate_autocad_window",7,0
"scripts/auto_TUPDSPACE.py","run_tupdspace_flow",17,0
"scripts/auto_TUPDSPACE.py","auto_tupdspace_with_repair",38,0
"scripts/CAD_basic.py","_cad_safe_print",35,1
"scripts/CAD_basic.py","_log",536,1
"scripts/CAD_basic.py","_kill_acad",555,1
"scripts/CAD_basic.py","connect_database_task",572,0
"scripts/CAD_basic.py","safe_save_cad",579,0
"scripts/CAD_basic.py","timeout_and_log2",598,1
